"ambientes";"property.surface_covered";"property.price";"property.surface_total";"year";"gimnasio";"cochera";"pileta";"precioM2";"precioM2Vecino";"X";"Y"
1;41;65000;41;2016;0;1;0;1585.36585365854;1547.61904761905;2243053.2887;6497395.82491414
3;136;166000;184;2016;1;1;1;1220.58823529412;1237.90322580645;2240795.59123177;6495386.31415124
3;181;2e+05;180;2016;1;1;1;1104.97237569061;1285.71428571429;2246837.54180329;6493609.60748989
2;250;75000;300;2016;0;1;0;300;645.161290322581;2242791.43275665;6503054.83165937
1;150;450000;290;2016;0;1;0;3000;1886.01917723477;2243784.33048758;6496566.55707877
3;220;175000;450;2016;0;1;1;795.454545454545;1033.33333333333;2234703.88277567;6507527.56275542
2;350;330000;350;2016;1;1;1;942.857142857143;950;2245291.34117396;6494568.43141208
1;180;260000;200;2016;0;1;0;1444.44444444444;1846.15384615385;2244313.74800297;6497407.21703883
2;140;120000;160;2016;0;0;0;857.142857142857;1333.33333333333;2243778.48425037;6499249.93994855
2;127;3e+05;31;2016;1;1;1;2362.20472440945;1866.66666666667;2244524.96540407;6497248.07512853
1;160;130000;190;2015;0;1;0;812.5;1560;2243771.66814765;6497883.78864399
4;410;320000;1100;2016;0;1;1;780.487804878049;1181.81363636364;2245259.07953684;6494130.57017201
3;130;135000;160;2016;0;1;0;1038.46153846154;1172.41379310345;2242112.1213295;6499266.62568044
3;70;90000;80;2015;0;1;0;1285.71428571429;1560;2243771.66814765;6497883.78864399
