"VIVIENDA_REF_ID";"RADIO_REF_ID";"TIPVV";"V01";"V02";"V00";"URP";"INCALSERV";"INMAT";"MUNI";"LOCAL";"INCALCONS";"TOTHOG"
10845455;40990;1;1;1;0;1;2;1;580280035;58028010;1;1
10845410;40990;1;1;1;0;1;1;3;580280035;58028010;3;1
10845537;40990;1;1;1;0;1;2;1;580280035;58028010;1;1
10844734;40983;1;1;1;0;3;3;2;580280000;58028000;3;1
10846072;40994;1;1;1;0;1;1;1;580280035;58028010;1;1
10846233;40994;1;1;1;0;1;1;1;580280035;58028010;1;1
10846197;40994;1;1;1;0;1;1;1;580280035;58028010;1;1
10845722;40991;1;1;1;0;1;1;1;580280035;58028010;1;1
10925478;41271;1;1;1;0;2;3;1;580350091;58035130;1;1
10967576;41431;1;1;1;0;1;2;1;580350042;58035030;1;1
10936298;41312;1;3;1;0;1;3;4;580350070;58035100;3;1
10921837;41259;1;1;1;0;1;1;1;580350056;58035070;1;1
10949854;41360;1;1;1;0;1;1;1;580350063;58035090;1;2
10925328;41270;1;1;1;0;3;3;2;580350091;58035000;2;1
10939132;41322;1;1;1;0;1;3;1;580350070;58035100;1;1
10899540;41183;1;1;1;0;1;1;1;580350056;58035070;1;1
10954840;41381;1;1;1;0;1;1;2;580350049;58035040;2;1
10916232;41242;1;1;1;0;1;1;1;580350056;58035070;1;1
10912060;41229;1;4;1;0;1;1;1;580350056;58035070;1;1
10928339;41284;1;1;1;0;1;2;2;580350042;58035030;2;1
10958385;41397;1;1;1;0;1;1;1;580350049;58035040;1;1
10867139;41073;1;4;1;0;1;1;1;580350056;58035070;1;1
10866928;41072;1;4;1;0;1;1;1;580350056;58035070;1;1
10873583;41096;1;4;1;0;1;1;1;580350056;58035070;1;1
10966337;41427;1;1;1;0;1;1;1;580350056;58035070;1;2
10880981;41122;1;1;1;0;1;1;3;580350056;58035070;2;1
10857601;41044;1;1;1;0;1;1;1;580350056;58035070;1;1
10856031;41039;1;1;1;0;1;1;1;580350056;58035070;1;1
10904234;41202;1;1;1;0;1;1;1;580350056;58035070;1;1
10863188;41061;1;1;1;0;1;1;1;580350056;58035070;1;1
10878116;41112;1;1;1;0;1;1;1;580350056;58035070;1;1
10850366;41020;1;4;1;0;1;1;1;580350056;58035070;1;1
10892391;41161;1;1;1;0;1;1;4;580350056;58035070;3;1
10891643;41158;1;4;1;0;1;1;1;580350056;58035070;1;1
10865399;41067;1;1;1;0;1;1;1;580350056;58035070;1;1
10953535;41376;1;1;1;0;1;1;3;580350049;58035040;2;1
10923303;41263;1;1;1;0;1;1;1;580350056;58035070;1;2
10888667;41148;1;1;1;0;1;1;1;580350056;58035070;1;1
10911359;41227;1;1;1;0;1;1;1;580350056;58035070;1;1
10950322;41362;1;1;1;0;1;1;1;580350063;58035090;1;1
10958890;41398;1;1;1;0;1;1;1;580350049;58035040;1;1
10861444;41055;1;1;1;0;1;1;1;580350056;58035070;1;1
10917297;41244;1;1;1;0;1;1;1;580350056;58035070;1;1
10938886;41321;1;1;1;0;1;2;1;580350070;58035100;1;1
10875898;41105;1;1;1;0;1;1;1;580350056;58035070;1;1
10948619;41356;1;1;1;0;1;1;1;580350063;58035090;1;1
10917637;41245;1;1;1;0;1;1;1;580350056;58035070;1;2
10942326;41333;1;4;1;0;1;2;3;580350070;58035100;2;1
